,comments,duration,languages,published_date,speaker_occupation,title,views,Positive,Negative,Moderate,related_views,event_class,Humanity/Progress_tag,arts/creativity_tag,philanthropy/religion_tag,music_tag,Global issues_tag,Scientific Fields_tag,media/entertainment_tag,Organizing/Perceiving Information_tag,Middle East_tag,Epidemics_tag,Outer-Space_tag,Vices/Prejudices_tag,exploration_tag,robots/prosthetics_tag,animals/organisms_tag
1537,1640,1237,30,1372692970,Investor and political scientist,A tale of two political systems,2449736,3639,405,61,1667357,TEDGlobal,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1538,85,978,28,1372777274,Health and technology activist,The big-data revolution in healthcare,687669,389,75,59,1216907,TEDx,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1539,206,307,36,1372863675,"Interface designer, engineer",Reach into the computer and grab a pixel,1772635,1831,65,91,5878542,Yearly TED Conference,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1540,129,527,32,1373036244,Bluegrass musicians,Bluegrass virtuosity from ... New Jersey?,5199008,1674,13,48,1521963,Yearly TED Conference,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1541,258,867,34,1373296344,Anti-corruption activist,Meet global corruption's hidden players,1570996,1969,69,71,837781,TEDGlobal,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1542,308,742,31,1373382070,Architect,Why we should build wooden skyscrapers,1207550,1240,97,31,1554216,Yearly TED Conference,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1543,130,1201,20,1373468405,Cognitive psychologist,The interspecies internet? An idea in progress,717979,473,79,25,1052239,Yearly TED Conference,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1544,269,649,31,1373555170,Cancer detector inventor,A promising test for pancreatic cancer ... from a teenager,4538435,2650,63,24,1405676,Yearly TED Conference,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0
1545,230,501,29,1373641277,Sexuality educator,Sex needs a new metaphor. Here's one ...,1836106,2105,243,93,6957089,Yearly TED Conference,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1546,186,888,28,1373900562,Natural sounds expert,The voice of the natural world,1022050,1297,17,20,1522275,TEDGlobal,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1547,123,654,28,1373986777,Cloudspotter,Cloudy with a chance of joy,1223155,1275,17,20,856083,TEDGlobal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1548,239,841,35,1374073155,Global author,Where is home?,3035515,3073,86,103,1983132,TEDGlobal,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1549,153,560,32,1374160566,Science fair winners,Two young scientists break down plastics with bacteria,1212774,899,72,63,1134161,Yearly TED Conference,1,0,0,0,1,1,0,0,0,0,1,0,0,1,1
1550,173,701,37,1374246876,Beatboxer,The orchestra in my mouth,8688241,3230,64,70,1382082,TEDx,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1551,630,899,35,1374505938,Philosopher,Our shared condition -- consciousness,1332731,1116,197,103,2129511,TEDx,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0
1552,169,705,22,1374591660,Shepherd of electrons,DJ decks made of ... paper,686914,600,30,24,1952522,Yearly TED Conference,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
1553,107,377,38,1374677912,Parents,"In our baby's illness, a life lesson",1100997,1150,14,16,4960161,TEDGlobal,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1554,263,651,28,1374764500,Advertising expert,Bitcoin. Sweat. Tide. Meet the future of branded currency.,1068469,688,107,65,2343073,TEDGlobal,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1555,295,331,43,1374850840,Surprisologist,How a penny made me feel like a millionaire,1655352,1527,59,64,3111884,Other,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1556,121,358,33,1375113177,Aircraft engineer,A 3D-printed jumbo jet?,1105500,478,142,69,1245017,TEDGlobal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1557,162,644,31,1375196581,Life saver,The fastest ambulance? A motorcycle,1062701,1009,6,9,1408053,Other,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1558,78,1108,26,1375283246,"Director, designer","Spider-Man, The Lion King and life on the creative edge",959460,327,128,45,1159105,Yearly TED Conference,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1559,121,476,34,1375369665,Electronic systems expert,Better baby care -- thanks to Formula 1,790591,590,25,49,912962,TEDx,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0
1560,177,670,32,1375455604,Beatboxer and inventor,The polyphonic me,2067955,1084,81,56,4038316,Yearly TED Conference,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1561,390,575,29,1375714807,Philosopher,For argument's sake,1423637,803,142,162,1246834,TEDx,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
1562,180,543,36,1375801702,Multi-sense designer,Design for all 5 senses,1469884,1107,186,115,3147975,Yearly TED Conference,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1563,90,490,34,1375889738,Graphic designer,Ingenuity and elegance in ancient African alphabets,724180,698,25,46,772615,Yearly TED Conference,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1564,671,857,37,1375974037,Research psychologist,The voices in my head,4058274,5110,79,55,2217282,Yearly TED Conference,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1565,201,1178,26,1376060301,Musician,In the key of genius,1471722,1323,17,11,883142,TEDx,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
1566,289,878,30,1376319512,Management thinker,The dangers of willful blindness,1537390,2151,43,32,1770475,TEDx,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
1567,157,702,34,1376406006,Architect,Emergency shelters made from paper,1573440,1273,13,17,1192435,TEDx,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
1568,419,1306,37,1376492031,Circadian neuroscientist,Why do we sleep?,6504999,5484,140,207,2252439,TEDGlobal,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0
1569,333,925,27,1376578944,Neuroscientist,A mouse. A laser beam. A manipulated memory.,1044961,980,48,19,2276040,TEDx,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1570,186,616,40,1376665207,Founder of the Beirut Marathon,Making peace is a marathon,5182832,839,23,22,945373,TEDGlobal,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0
1571,202,1037,28,1378220866,Science communicator,Why I fell in love with monster prime numbers,2014461,2056,42,50,1957287,Yearly TED Conference,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
1572,693,868,47,1378306783,Health psychologist,How to make stress your friend,14566463,19002,425,347,5120489,TEDGlobal,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
1573,554,924,29,1378393234,Plutocracy chronicler,The rise of the new global super-rich,1909640,1667,441,187,1834401,TEDGlobal,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1574,257,424,34,1378480353,Visual artist,Your body is my canvas,2682427,2049,63,66,1765514,TEDGlobal,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1575,166,910,26,1378739698,Rewilding campaigner,"For more wonder, rewild the world",887823,1411,53,12,1183978,TEDGlobal,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1
1576,68,938,25,1378825147,Designer and storyteller,The museum of you,780039,488,19,18,1361602,TEDSalon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1577,90,944,31,1378913248,Labor lawyer and activist,How technology allowed me to read,682353,739,7,19,1489445,TEDx,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0
1578,98,918,28,1378998085,Science writer,3 reasons we still haven’t gotten rid of malaria,1118305,534,34,30,1094997,TEDGlobal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1579,285,527,37,1379084559,Gentleman thief,The art of misdirection,15283242,7391,154,143,4972085,TEDGlobal,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1580,133,1046,28,1379344658,Cybersecurity specialist,Everyday cybercrime -- and what you can do about it,1397126,1818,59,65,1494065,Yearly TED Conference,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
1581,253,957,34,1379429848,Bees scholar,Why bees are disappearing,2436104,3497,63,54,1274314,TEDGlobal,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
1582,99,475,32,1379516494,Ecologist,Mapping ideas worth spreading,1085152,694,30,34,1730216,Yearly TED Conference,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1583,463,542,39,1379602886,Bioprinting entrepreneur,Leather and meat without killing animals,1151214,2329,70,41,1925364,TEDGlobal,1,0,1,0,1,1,1,0,0,0,0,0,0,0,1
1584,253,1085,24,1379689237,Political theorist,Why mayors should rule the world,719821,579,171,35,869838,TEDGlobal,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1585,520,1056,32,1379948415,False memories scholar,How reliable is your memory?,3338820,4229,174,145,5069217,TEDGlobal,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
1586,193,1113,29,1380035036,Neuroscientist,The pursuit of ignorance,1836382,1902,53,46,992181,Yearly TED Conference,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
1587,127,590,29,1380121621,Philosopher,What we don't understand about trust,1469734,891,119,171,1075521,TEDx,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
1588,313,1120,34,1380208246,Moral philosopher,Why our IQ levels are higher than our grandparents',2991225,1925,118,64,1293889,Yearly TED Conference,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1589,565,660,34,1380294807,"Comedian, activist",Confessions of a depressed comic,2954036,5686,155,110,2643433,TEDx,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
1590,441,940,35,1380553694,Writer,The unheard story of David and Goliath,3665885,2029,301,100,2256878,TEDSalon,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
1591,169,834,26,1380640518,Anthropologist,Life that doesn't end with death,1538661,742,206,91,1513598,Other,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
